Disease ,Gender,Age,Sym1,Sym2,Sym3,Sym4,Sym5,Sym6,Sym7,Sym8,Sym9,Sym10,Sym11,Sym12,Sym13,Sym14,Sym15
Rhinitis and Sinusitis,both,common,Sneezing,Bad breath,Rubbing or pawing at the face,Facial pain or swelling,Lack of scent ability,Lack of appetite,Weight loss,Restlessness,Bilateral Nasal discharge,Unilateral,Open mouth breathing,Labored breathing,Sneezing,Coughing,Gagging
Coccidioidomycosis ,both,common,Coughing,Fever,Anorexia,Weight loss,Lameness,Seizures,paraparesis,back and Neck Pain,Visual changes,,,,,,
Vestibular Disease - Geriatric ,both,fifteen,peripheral vestibular dysfunction,If vestibular signs are severe,Eye discharge,Sudden onset of imbalance,Disorientation,irregular eye movements,Vomiting,Head tilt mild to marked,directed toward the side of the lesion,erratic side-to-side head,Abnormal nystagmus common in early stages,either horizontal,abnormal nystagmus usually mild,Vomiting,Weakness
Atrial Septal Defect ,both,common,Cyanosis,Exercise intolerance,Syncope,Coughing,dyspnea,Soft systolic murmur over the pulmonic valve,Rarely a diastolic murmur,,,,,,,,
Sertoli Cell Tumor,both,fifteen,Blood in the urine,shrinkage,lose weight,appear pale,hair loss in the area of the tumor,hyperpigmentation of the skin,a mass in the abdomen,,,,,,,,
Metformin Toxicosis ,both,common,Vomiting,Lethargy,Depression,Anorexia,hypothermia,,,,,,,,,,
Spinal Dysraphism,both,common,Abnormal spinal reflexes,Symmetrical,Wide legged stance,Overextended pelvic limbs,Depressed proprioception,Scoliosis,Abnormal hair streams,Depression,,,,,,,
Ivermectin and Other Macrocyclic Lactones Toxicosis,both,common,Lethargy,Ataxia,Hypersalivation,Tremors,Mydriasis,Blindness,Bradycardia,,,,,,,,
Blood Transfusion Reactions ,both,common,Restlessness,Fever,Tachycardia,Vomiting,Tremors,Weakness,Incontinence,Collapse,Shock,Oliguria,Loss of transfusion efficacy,,,,
Patent Ductus Arteriosus,female,common,Respiratory,Coughing,CHF,Stunted growth in some,rear limb Weakness,Signs usually precipitated by or worsened by exercise,machinery-type murmur loudest,murmur can be loud near the manubrium sterni,systolic murmur,resemble arlong systolic and early diastolic murmur,Loud murmurs,Arterial pulses,,,
Lymphedema ,both,common,peripheral limb swelling,Swelling,Unilateral,Pitting,temperature of affected area is normal,Pitting quality lost with chronicity as fibrosis occurs,Lameness,,,,,,,,
Myopathy - Generalized Inflammatory ,both,common,Weakness,regurgitation,Elevated serum creatine kinase activity,creatine kinase activity normal,Firm,Chronic,Muscle swelling or atrophy,Variable muscle pain,muscle Weakness,Regurgitation,swallowing,Variable pain,muscles of mastication,Weakness,Muscle pain
Atrioventricular Valve (Myxomatous) Disease ,male,ten,Systolic click,Systolic murmur best heard over,loud holosystolic,louder and radiates more widely,echocardiographic changes,loud heart murmur,Tachycardia,Arrhythmia and pulse deficit,Weak femoral pulse,prolonged capillary refill,,,,,
Lily Toxicosis,both,common,Vomiting,Depression,Vomiting,both persist throughout the syndrome,Polyuria and Dehydration,leads to anuric renal failure,Weakness,Recumbency by 2 to 4 days,,,,,,,
Enamel Hypoplasia,both,five,Digestive problems,Fever,Infection,Morbillivirus species infections,Nutritional deficiencies,One or more discolored teeth,Parasites,,,,,,,,
Chediak-Higashi Syndrome ,both,common,Red fundic reflex,lack of choroidal pigment,yellow-green irises,epiphora in bright light,,,,,,,,,,,
Adenocarcinoma - Lung,both,ten,Difficulty breathing,Rapid breathing,Extreme tiredness,Weakness,Loss of Appetite,Weight loss,Vomiting,Bloody,Fever,Muscle pain and Weakness,,,,,
Optic Neuritis and Papilledema,both,common,Acute Blindness,behavior changes,absent menace,absent dazzle,mydriatic and nonresponsive pupil,anisocoria if Unilaterally affected,usuallynormal anterior segment,hyperemia,congestion,dazzle present,normal pupillary light reflexes,normal anterior segment,swelling of optic nerve head,elevation of optic nerve head,
Nail and Nailbed Disorders ,both,five,Licking at the feet or ungual folds,Lameness,Pain,Swelling,Erythema,exudate of ungual fold,Deformity,sloughing of nail,Discoloration of the nail,loss of a nail,,,,,
Craniomandibular Osteopathy ,both,common,Mouth pain,Difficulty in prehension,Temporal and masseter Muscle atrophy,Intermittent Pyrexia,Bilateral exophthalmos,,,,,,,,,,
Malignant Fibrous Histiocytoma ,both,common,Anorexia,Weight loss,Lethargy,Firm,arising in subcutaneous tissue,underlying skeletal muscle,induce bone destruction and proliferation,dorsal thoracic and scapular area and pelvic region,,,,,,,
Joint Luxations,both,common,Lameness,reluctance to walk or jump,pain when touching or moving the joint,swelling or Warmth of the joint,persistent licking at the joint,Decreased appetite,decreased activity,,,,,,,,
Atrioventricular Valvular Stenosis,both,ten,Exercise intolerance,Syncope,Tachypnea,Coughing,Cyanosis,Abdominal distention,arterial thromboembolism,Stunted growth,Hemoptysis from rupture,,,,,,
Eosinophilic Granuloma Complex,male,five,Rapid onset,Nasal and muzzle swelling,Pain,Exudation,Large and Swollen erythematous lesions,Bumps and nodules on the body,,,,,,,,,
Basal Cell Tumor ,both,five,Solitary,well-circumscribed,Firm,often hairless,intradermal raised mass,illness,frequently heavily pigmented,,,,,,,,
Enamel Hypoplasia,both,five,Digestive problems,Fever,Infection,Morbillivirus species infections,Nutritional deficiencies,One or more discolored teeth,Parasites,,,,,,,,
Ventricular Standstill ,both,common,illness,cardiac arrhythmias,No ventricular pulse can be palpated,Cardiac arrest,Collapse,,,,,,,,,,
Brachial Plexus Avulsion ,both,common,Horner,Syndrome,Paralysis of a limb,Difficulty controlling a limb,Limbs dragging,Not putting weight on a limb,Lack of pain,,,,,,,,
Hepatotoxins,both,common,Vomiting,Diarrhea,Weakness,Coma in severe cases,Lesions-red or purple spots on the skin,Hemorrhage,yellowing of the skin or whites of the eyes,Dehydration,Increased urination and thirst,Stomach Bloating,Seizures,Sudden fainting,,,
Helicobacter spp,both,common,Vomiting,Dehydration,Poor appetite,Bowel sounds,Abdominal pain,Weight loss,Diarrhea,Weakness,Sudden death,,,,,,
Oral Masses,both,five,Weight loss,Anorexia,Can eat only soft food,Reluctance or pain to chew,Chews only on one side,Halitosis,Tooth displacement,Malocclusion,Oral Hemorrhage,Dysphasia,Abnormal salivation,Inability to open or close the mouth,Abnormal facial symmetry,Facial swelling,Head shyness
Infertility-male,male,common,Fever,Uneasiness or discomfort,Bloody,Painful ejaculation,Swelling,Depression,Pain in lumbar region,Retrograde ejaculation,Changes in libido,Failure to ejaculate,Refusal to breed,,,,
Splenic Torsion,both,common,Collapse,Abdominal pain,Vomiting,Lack of appetite,Swelling of the abdomen,Weight los,Increased drinking and urination,Urine color changes may look like port wine,Lethargy,Depression,,,,,
Bile Duct Carcinoma ,female,ten,Lethargy,Lack of appetite,Weight loss,Excessive urination,Excessive thirst,Vomiting,yellowing of skin eyes,Ascites or fluid accumulation,Anorexia,Polydipsia and polyuria,Icterus,Abdominal distension,,,
Anemia - Non Regenerative,female,common,Tachycardia,Pale mucous membranes,Abnormal peripheral pulses,Hypotension,Lethargy,Weakness,Anorexia,Splenomegaly,Abdominal distension,Heart murmur,Jaundice,Fever,Shock,,
Diabetes Mellitus with Ketoacidosis,female,common,excessive thirst,increased urination,Lethargy,Weakness,Vomiting,increased respiratory rate,Decreased appetite,Weight loss,Dehydration,unkempt haircoat,Dandruf,Dehydration,,,
Maternal Behavior Problems ,female,common,Deficient Maternal Behavior,Absent maternal behavior,Abnormal Maternal Behavior,Maternal Aggression,Excessive Maternal Behavior,,,,,,,,,,
Chagas Disease,male,common,Lethargy,Depression,Anorexia,Diarrhea,Weakness,Exercise intolerance,Mild to severe CNS dysfunction,Ataxia,Seizures,,,,,,
Metformin Toxicosis ,both,common,Vomiting,Lethargy,Depression,Anorexia,hypothermia,,,,,,,,,,
Astrocytoma,both,five,kinetic dependent,Seizures,Behavioural changes,societal interactions,Disorientation,Loss of conscious proprioception,Cranial nerve abnormalities,,,,,,,,
Von Willebrand Disease ,both,five,Hemorrhage from mucosal surfaces,epistaxis,gastrointestinal Hemorrhage,Hematuria,vaginal Hemorrhage,gingival Hemorrhage,Prolonged Bleeding after surgery or Trauma,Blood loss anemia if prolonged Hemorrhage,,,,,,,
Deafness,both,common,Difficulty localizing sound,change in attentiveness,Appear unresponsive to everyday sounds,Appear unresponsive to his or her name,Be difficult to rouse from sleep,Often they are easily startled,Bark excessively,Fail to respond to familiar verbal commands,Be difficult to rouse from sleep,Be less active,,,,,
Ovarian Tumors,both,common,vulvar enlargement,vaginal discharge,persistent estrus (menstruation and heat),pyometra (pus in the uterus),Lethargy,Lack of appetite,Weight loss,thinning of the haircoat,,,,,,,
Lymphoma - Cutaneous Epitheliotropic ,both,ten,Chronic,inflammatory dermatoses,Pruritus,Erythema,Scaling,Depigmentation,Alopecia,Erythema,erosion,Ulceration affecting mucocutaneous,erythematous,Oral mucosal Ulceration,limited to the mucocutaneous junctions,Swelling,Vomiting
Myeloproliferative Disorders ,both,common,Pale mucous membranes,Lethargy,Inappetance,Weight loss,HepatoSplenomegaly,ataxia,seizure,,,,,,,,
Housesoiling,male,fifteen,Confusion,Anxiety,Urinary tract disorders,Bladder disorders,Stomach disorders,Licking the genital areas,Overexcitement,Acting fearful,,,,,,,
ChondrosarComa - Larynx and Trachea ,both,common,Voice change,breathing,Coughing,Exercise intolerance,Severe Respiratory distress,Cyanosis,Collapse,Dysphagia,,,,,,,
Diabetes Mellitus without Complication,female,common,increased urination,Increased thirst,Weight loss,Hepatomegaly,Lethargy,Depression,Inappetance,Lack of appetite,Vomiting,,,,,,
Hyponatremia,both,common,Lack of energy,Vomiting,Seizures,Less alert,Disorientation,Loss of Appetite,Lowered muscle strength,,,,,,,,
Coagulopathy of Liver Disease ,both,common,Often minor or no Bleeding,Melena,hematemesis,Hematochezia,Hematuria,Prolonged Bleeding if provoked,venipuncture,cystocentesis,biopsy,surgical wounds,pontaneous bruising or hematomas,,,,
Inflammatory Bowel Disease,both,five,Diarrhea,Weight loss,Fatigue,Depression,Vomiting,Gas,Abdominal pain,Rumbling and gurgling abdominal sounds,Bright red blood in stool,Distressed coat hair,,,,,
Retained Placenta,both,common,Depression,Fever,Lethargy,Loss of Appetite,Neglect of Offspring,,,,,,,,,,
Urolithiasis -  Struvite ,female,common,Some dogs are Asymptomatic,number of uroliths,Pollakiuria,Dysuria and Hematuria,sometimes small or smooth uroliths are voided,Pollakiuria,sometimes small or smooth uroliths are voided,Nephroliths,Obstruction to urine outflow,Uroliths,Obstruction of the urethra,Obstruction,ascending urinary tract infection,Not eating,
Trichinosis,both,common,Upset stomach,Vomiting,Diarrhea,Muscle pain,Stiffness,Muscle inflammation,,,,,,,,,
Snake Venom Toxicosis?Pit Vipers,both,common,Visible bite marks,Pain,Swelling,Agitation,Breathing trouble,Vomiting,Diarrhea,Dizziness,Extreme sleepiness,Trouble walking,Fainting,Shock,Death,,
LeiomyosarComa ,both,ten,Related to gastrointestinal tract,Vomiting,Weight loss,Diarrhea,borborygmus,Flatulence,tenesmus,may lead to rectal prolapse,Hematochezia,may feel mid-abdominal mass,painful loops of small bowel on abdominal palpation,feel palpable,,,
Fipronil Toxicosis,both,five,Twitching,Nodding,Aggression,Sweating,Nausea,Lack of appetite,Vomiting,Headache,Abdominal pain,Dizziness,Agitation,Weakness,,,
Lyme Borreliosis ,both,common,Lameness,one or more joints may be Swollen and Warmn,a pain response is elicited by palpation,responds well to antibiotic treatment,walk stiffly,Chronic,may persist despite antimicrobial therapy,Fever,Anorexia,Depression,infecting tick bite may be Swollen,,,,
Head Pressing,both,common,head against stable objects,ExhiBiting reduced reflexes,Compulsive Pacing,excessive Pacing,Seizures,Strong changes in behavior,Visual problems,,,,,,,,
Hepatocellular Carcinoma,both,fifteen,Decreased appetite,Weight loss,Lethargy,Abdominal distention,Mass can be felt in the stomach,Vomiting,Excessive thirst,Frequent urination,Diarrhea,Jaundice,Ascites,Gastrointestinal Bleeding,Ulcers,Seizures,Coma
Peripheral Edema,both,common,Allergic or other immunecardiac,hepatic,Trauma,Exposure to toxic,infectious agents such as ticks or other arachnids,Unexplained weight gain may be noted initially,Non-inflammatory Subcutaneous edema,Inflammatory edema,,,,,,,
Facial Nerve Paresis and Paralysis,both,common,face can be affected,Inability to blink,a drooping ear,Drooling,food fall out of the mouth,,,,,,,,,,
Mediastinitis,both,common,Weakness,Dysphagia,Edema of head or neck and forelimbs,Polypnea,respiratory difficulty or obstructed breathing,Coughing,Fever,,,,,,,,
Hypertension-Pulmonary,female,five,Exercise intolerance,Difficulty breathing,Rapid breathing,Coughing,Spitting up blood from the lungs,Fainting,Weight loss,Heart murmur,Distended jugular veins in the neck,Fluid buildup under the skin,Sudden death,,,,
Tracheal Perforation,both,common,Pockets of palpable air under the skin,Shortness of breath,Difficulty breathing,external Trauma,Malaise,Vomiting,Anorexia,Gagging,Unusual salivation,Coughing,Shock,,,,
Mesothelioma ,male,common,Pleural effusion,dyspnea,tachypnea,Exercise intolerance,Coughing,Gagging,Cyanosis,Pericardial effusion,Lethargy,Anorexia,Weakness,Collapse,Respiratory distress,Weakness,Stomach pain
Rectal Stricture,both,ten,painful sitting,Struggling with bowel movements,Hematochezia Abnormally small or ribbon like feces,Dyschezia,Constipation,Diarrhea,Behavioral distress,,,,,,,,
Hepatoportal Microvascular Dysplasia,both,five,Staggering,Pacing,Vomiting,Nausea,Increased water consumption,Increased urination,,,,,,,,,
Chediak-Higashi Syndrome ,both,common,Red fundic reflex,lack of choroidal pigment,yellow-green irises,epiphora in bright light,,,,,,,,,,,
Melanocytic Tumors - Skin and Digit ,both,common,Skin mass with variable growth rates,Solitary,Lameness,Lymph node,diffuse pulmonary metastasis,,,,,,,,,,
West Nile Virus Infection ,both,common,Incoordination,Incubation,Febrile response,Post-infection,In the rarely affected dogs,common signs are ataxia,Depression,Anorexia,Tremors,conscious proprioceptive deficits,Seizures,Weakness,flaccid paralysis,,
Lupus Erythematosus - Systemic,male,common,Lethargy,Anorexia,Lameness,Lesions,Fever,Weakness,sequential rather than concurrent,Swollen,painful joints,Swollen but not deformed,Lesions,Erythema,Scaling,Ulceration,Depigmentation
Elbow Dysplasia,male,five,Limping,Stiffness,Less enthusiasm to go for walks or play,elbows held at a strange angle,Swollen and puffy elbows,Pain,,,,,,,,,
Fanconi Syndrome,both,common,Lethargy,Vomiting,Lack of interest in eating,Diarrhea,Excessive thirst,Excessive urination,Weight loss,Weakness,Seizures,,,,,,
Gastric Dilation and Volvulus Syndrome,both,common,Vomiting,Anxious behavior,Abdominal pain,Abdominal distention,Collapse,Lethargy,Drooling,,,,,,,,
Endocarditis-Infective,male,five,Difficulty breathing,Exercise intolerance,Lethargy,Weight loss,High systolic blood pressure,General malaise,Fever,Lameness,Painful or Swollen joints,Urinary or vaginal infection,Blood or pus in the urine,Vomiting,Seizures,Behavioral changes,
Marijuana Toxicosis ,both,common,Ingestion,May begin in minutes following inhalation,Ataxia and Incoordination,Hypersalivation,Vomiting,glazed eyes,Mydriasis,Depression,hypothermia,trembling,urinary incontinence,Bradycardia,Hypotension and Coma,Nystagmus,Vocalization
Entropion,both,five,Squinting,Excessive tearing,Eye discharge,Apparent swelling around eyes,Rubbing at eyes,Eye redness,Conjunctivitis,Excessive blinking,blepharospasms,Corneal ulcers,,,,,
Cryptorchidism ,both,common,Bilaterally cryptorchid animals are infertile,Unilaterally cryptorchid,Rarely associated with pain or other signs of disease,Abdominal pain,spermatic cord,Feminizing paraneoplastic syndrome,gyneComastia,Alopecia,hyperpigmentation of inguinal skin,pendulous preputial sheath,prostatic squamous metaplasia,,,,
Hepatic Failure- Acute,both,common,Vomiting,Excessive thirst,Frequent urination,Diarrhea,Jaundice,Gastrointestinal Bleeding,Ulcers,Ascites,Disorientation or aimless wandering,Aggression,Drooling,Poor coordination,Blindness,Seizures,Coma
Lupus Erythematosus - Systemic,male,common,Lethargy,Anorexia,Lameness,Lesions,Fever,Weakness,sequential rather than concurrent,Swollen,painful joints,Swollen but not deformed,Lesions,Erythema,Scaling,Ulceration,Depigmentation
Dermatomyositis,both,five,Lesions,Lesions,Lesions,tip of tail or pressure points,Muscle atrophy,Weakness,Mega-esophagus,,,,,,,,
Oral Masses,both,five,Weight loss,Anorexia,Can eat only soft food,Reluctance or pain to chew,Chews only on one side,Halitosis,Tooth displacement,Malocclusion,Oral Hemorrhage,Dysphasia,Abnormal salivation,Inability to open or close the mouth,Abnormal facial symmetry,Facial swelling,Head shyness
Mediastinitis,both,common,Weakness,Dysphagia,Edema of head or neck and forelimbs,Polypnea,respiratory difficulty or obstructed breathing,Coughing,Fever,,,,,,,,
Hepatic Failure- Acute,both,common,Vomiting,Excessive thirst,Frequent urination,Diarrhea,Jaundice,Gastrointestinal Bleeding,Ulcers,Ascites,Disorientation or aimless wandering,Aggression,Drooling,Poor coordination,Blindness,Seizures,Coma
Mycotoxicosis?Tremorgenic Toxins ,both,common,Vomiting,hyperresponsive to external stimuli,Panting,Hyperactivity,Vomiting,ataxia,Incoordination,Weakness,Tachycardia,rigidity,Seizures,may lead to hyperthermia,Hypoglycemia,Dehydration,depression
Sertoli Cell Tumor,both,fifteen,Blood in the urine,shrinkage,lose weight,appear pale,hair loss in the area of the tumor,hyperpigmentation of the skin,a mass in the abdomen,,,,,,,,
Tyzzer Disease,both,common,Abdominal pain,Anal Bleeding,Coma,Convulsions,Excessive urination or thirst,Fever,Jaundice,Lethargy,Loss of Appetite,Ruffled or coarse fur,Sudden death,Watery diarrhea,,,
Pneumothorax,both,common,Traumatic recent Trauma,thoracocentesis,jugular venipuncture,lung aspirate,thoracotomy,mechanical ventilation,neck surgery,Recent anesthesia,Spontaneous,Respiratory distress,Shallow,rapid abdominal breathing common,Decreased to absent breath sounds dorsally,Cyanosis,Tachycardia
Bilious Vomiting Syndrome ,both,ten,Frothy yellow vomit,Vomiting,Depression,Lethargy,Drooling,Licking his lips,Lack of appetite,Concentrated urine,,,,,,,
Phlebitis,both,common,local inflammation,Erythema,pain,heat,swelling and vessel hardness,concurrent lymphedema,infection or abscess,Fever,,,,,,,
Nephrotoxicity - Drug-Induced ,both,fifteen,Polyuria and Polydipsia,sometimes Oliguria,Inappetence,Depression,Vomiting,Diarrhea,Dehydration,Oral ulcers,Uremic Halitosis,,,,,,
Mushroom Toxicoses ,both,common,Psychoactive species,dried product remains toxic,Psychoactive species,Psychoactive species,combined mushroom,Psychoactive species,Psychoactive species,,,,,,,,
Entropion,both,five,Squinting,Excessive tearing,Eye discharge,Apparent swelling around eyes,Rubbing at eyes,Eye redness,Conjunctivitis,Excessive blinking,blepharospasms,Corneal ulcers,,,,,
Lymphoma ,both,ten,Multicentric,Anorexia,Lethargy,Vomiting,Diarrhea,Weight loss,fever,Polydipsia,Gastrointestinal,malabsorption,Mediastinal,Respiratory distress,,,
Clostridial Enterotoxicosis ,both,ten,Diarrhea,Diarrhea,gastrointestinal,Chronic,4?6 weeks that may persist for months to years,precipitated during or shortly,acute hemorrhagic gastroenteritis,,,,,,,,
"ChondrosarComa, Bone ",both,common,visible mass at the affected site,Lameness,visible body wall anomaly,Fever,,,,,,,,,,,
Oral Ulceration,both,common,Halitosis,Gingivitis,Pharyngitis,Buccitis-buccal mucosal Ulceration,Ptyalism,Pain,Anorexia,Mucosal Ulceration,Plaque,,,,,,
Mast Cell Tumors ,both,common,Lipomas,Regional edema,lymphadenopathy,intermittent,Systemic illness,Vomiting,Anorexia,Weight loss,,,,,,,
Taurine Deficiency,both,common,Panting,Collapsing or fainting,Blood in the urine,Pain during urination,Abdominal pain,Moderate to severe Blindness,,,,,,,,,
Retinal Hemorrhage,both,common,Acute or progressive Vision loss,Symmetrical,Bleeding inside the eyes,Bleeding from the eyes,Dilated pupils,Enlarged eyes,Greenish,shiny reflection of the eyes,Red eyes,,,,,,
Tapeworms,both,common,Weight loss,Lethargy,Distended abdomen,Vomiting,Diarrhea,Dull coat,Visual evidence of tapeworms,,,,,,,,
Pheochromocytoma,both,common,Weakness,Anorexia,Vomiting,Weight loss,Panting,dyspnea,Diarrhea,Whining,Pacing,Ascites,edema,Shakes or shivers,Epistaxis,Adypsia,Lethargy
Lymphedema ,both,common,peripheral limb swelling,Swelling,Unilateral,Pitting,temperature of affected area is normal,Pitting quality lost with chronicity as fibrosis occurs,Lameness,,,,,,,,
Hydronephrosis,both,common,Loss of Appetite,Restlessness,Excessive thirst and urination,Blood in urine,Signs of uremia,Bad breath,Mouth sores,Vomiting,Abdominal pain,Lower Back pain,Abdominal distention,,,,
Idioventricular Rhythm,both,common,Some animals Asymptomatic,Weakness,Lethargy,Exercise intolerance,Syncope,Heart failure,,,,,,,,,
Disseminated Intravascular Coagulation,both,common,Excessive sleepiness,Weakness,red spots from Bleeding into the skin,Bruising,Pale gums and other mucous membranes,Jaundice,yellowing of skin,Bloody,Vomiting,Bloody,Rapid heart rate and respirations,Swelling,,,
Gastroenteritis Lymphocytic-Plasmacytic,both,five,Diarrhea,Vomiting,Appetite loss,Weight loss,Black stool,Bloody,Coughing,Lethargy,Swelling of the abdomen,Breathing trouble,Fluid retention,,,,
Esophageal Diverticula,both,common,Retching,Gagging,Hypersalivation,Vomiting,Difficulty breathing,Unable to finish eating,Weight loss,Coughing,,,,,,,
Antidepressant Toxicosis - SSRIs and SNRIs,both,common,Agitation,Ataxia,Mydriasis,Tremors,Vomiting,Disorientation,Hyperthermia,Vocalization,Depression,Tachycardia,Hypotension,Diarrhea,Blindness,Seizures,Hypersalivation
Blood Transfusion Reactions ,both,common,Restlessness,Fever,Tachycardia,Vomiting,Tremors,Weakness,Incontinence,Collapse,Shock,Oliguria,Loss of transfusion efficacy,,,,
Dental Caries,both,common,Dark discoloration,Bad Odor and softened enamel and dentin,painful underlying tooth,lined by dark and soft necrotic dentin,,,,,,,,,,,
Nephrotic Syndrome ,both,ten,Pitting Subcutaneous edema,infectious,inflammatory,seeking,diagnostic imaging,dogs may develop acute dyspnea,Panting,Weakness,pericardial effusion,pulmonary edema,pulmonary thromboembolism,Dependent pitting,Subcutaneous edema,Ascites,Higher Active
Canine Influenza ,both,common,Post-infection,Modest febrile response,Clear nasal,higher temperatures,Coughing,,,,,,,,,,
Ovulatory Failure,female,ten,Difficulty getting pregnant,Hot flashes,Night sweats,Vaginal dryness,Dry eyes,Irritability or difficulty concentrating,Decreased sexual desire,,,,,,,,
Ventricular Tachycardia ,both,common,Syncope,Weakness,Exercise intolerance,Sudden death,May be Asymptomatic,arrhythmia is paroxysmal,Tachycardia,Femoral pulses,arrhythmia,,,,,,
Megaesophagus ,both,common,Vomiting,Vomiting,Regurgitation,dysphagia,Coughing,Nasal discharge with aspiration pneumonia,ravenous appetite or inappetence,Weight loss,Ptyalism and Halitosis,Dysphonia,Other signs depend upon underlying etiology,Cervical swelling,representing a distended cervical esophagus,Ptyalism,Halitosis
Glycogen Storage Disease,both,common,Weakness,Chronic,Collapse,Lethargy,Enlarged liver,Lack of appetite,,,,,,,,,
Pericarditis,both,fifteen,tamponade,Collapse,Weakness,Anorexia,high central venous pressure,noticeable weakening,muffled or distant heart sounds,Ascites prominent among them,chronically elevated central venous pressures,,,,,,
Cardiomyopathy-Boxer,both,five,ventricular premature complexes,Syncope,Signs of left heart failure,Coughing,tachypnea,biventricular failure with VPCs,Fever,,,,,,,,
Dioctophyma renale,both,common,Back pain,Inflammation,Abdominal pain,Fever,Weight loss,,,,,,,,,,
Hepatic Encephalopathy,both,common,Seizures,Hysteria,Pacing,Aggression,Staggering,Tremors,Walking in circles,Sudden Blindness,Diarrhea,Drooling,Weight loss,Sleepiness,Apathy,Compulsive behavior,Vomiting
Atlantoaxial Instability,both,common,progressive ambulatory tetraparesis,Neck Pain,Neurologic signs,tetraplegia depending,Weakness,increased muscle tone,,,,,,,,,
Pulmonary Contusions,both,common,History of blunt Trauma,Tachypnea,Abnormal respiratory effort,Postural adaptations to Respiratory distress,Pale mucous membranes,Auscultation of harsh bronchovesicular sounds or crackles,Expectoration of blood or blood-tinged fluid,Concurrent signs of shock can be present,blunt force Trauma,,,,,,
Bilious Vomiting Syndrome ,both,ten,Frothy yellow vomit,Vomiting,Depression,Lethargy,Drooling,Licking his lips,Lack of appetite,Concentrated urine,,,,,,,
Lizard Venom Toxicosis ,both,common,Sudden onset of pain,Bite usually on the face,lizard may still be attached,Bleeding from bite site,Hypotension,Extremely painful bite site,Localized swelling,edema slower to develop than rattlesnake bite,Excessive salivation,Excessive lacrimation,Frequent urination and defecation,,,,
Shock-Hypovolemic,both,common,Weakness,Cool feet,Poor pulse,Very low blood pressure,Lethargy,Hyperventilation,Respiratory failure,Hemorrhage,,,,,,,
Flea Bite Hypersensitivity and Flea Control,both,five,Itching,Scratching,Hair loss,Scabs on the dog skin,Lesions,Chewing,Licking,,,,,,,,
Smoke Inhalation,both,common,Coughing,Red and irritated eyes,Weakness,Difficulty breathing,swelling,Foaming at the math,Seizures,Burns to the skin and eyes,Singed or burnt hair,Vomiting,Abnormal behavior,,,,
Salmon Poisoning Disease,both,five,Vomiting,Diarrhea,Fever,Loss of Appetite,Lymph node,Weakness,Depression,Discharge from the eyes or nose,Dehydration,,,,,,
Puppy Strangles ,both,common,Acutely Swollen face,Submandibular lymphadenopathy,Purulent otitis externa,Lesions,Affected skin is usually painful,Lethargy,Anorexia,Pyrexia and sterile suppurative arthritis,Sterile pyogranulomatous panniculitis over the trunk,preputial or perianal area,Lesions,,,,
LeiomyosarComa ,both,ten,Related to gastrointestinal tract,Vomiting,Weight loss,Diarrhea,borborygmus,Flatulence,tenesmus,may lead to rectal prolapse,Hematochezia,may feel mid-abdominal mass,painful loops of small bowel on abdominal palpation,feel palpable,,,
Aspergillosis - Nasal ,both,ten,Unilateral,Increased nasal airflow,Depigmentation,planum,Facial pain,Ipsilateral mandibular lymphadenopathy,Sneezing,,,,,,,,
"Oral Cavity Tumors, Undifferentiated Malignant Tumors",both,five,Excessive salivation,Halitosis,Dysphagia- dysorexia,Bloody,Weight loss,Oral mass,Loose teeth,Facial deformity,exophthalmia,,,,,,
Squamous Cell Carcinoma-Nasal and Paranasal Sinuses,male,common,Runny nose that goes on for a long time,Bloody,Excessive tear,Sneezing,Bad breath,Loss of Appetite,Seizures,Bulging eyes,Nose seems deformed,,,,,,
Hepatitis-Granulomatous,both,common,Lack of appetite,Vomiting,Diarrhea,Weight loss,Lethargy,Increased urination,Increased thirst,Abdominal pain,Yellowish discoloration of the skin,Distended abdomen,Fever,,,,
Streptococcal Infections,both,common,Pain,Fever,Arthritis,Lethargy,Coughing,Pneumonia,Abscess,Difficulty swallowing due to swelling,,,,,,,
Sebaceous Adenitis Granulomatous,both,five,Follicular casts or fronds,Scaling,Alopecia,Pruritus,Papules,Dorsal muzzle,Alopecia,Scaling,Hairs may be brittle,Matted hair or Straighter hair or loss,Alopecia,Ears or head and trunk affected,Annular to coalescing,Adherent scale,Otitis externa
Immunoproliferative Enteropathy Of Basenjis,both,five,Diarrhea,Vomiting,Weight loss,Appetite loss,Depression,Breathing difficulty,Weakness,Fluid in abdomen,Sleeping more often than usual,Debilitation,Death,,,,
Hypermetria and Dysmetria,both,common,Head tilt,Body swaying,Body Tremors,Wide leg stance,Loss of the menace response,Unequal pupil size,Abnormal movements,,,,,,,,
Hypoxemia,both,common,Shortness of breath,Gagging or gasping,Difficult and rapid breathing,Coughing,Blue or purple tint to the skin,Fast heart rate,Pain when breathing,Frothy discharge from nose and mouth,Weakness,Refusing to exercise or walk,Weight loss,Fainting,Collapse,Seizure,Death
Traumatic Myocarditis,both,common,Fast heartbeat,Slow heartbeat,Heart murmur,Irregular breathing,Rapid breathing,Coughing,Fainting,Weakness,Vomiting,Loss of Appetite,Weight loss,,,,
Blood Transfusion Reactions ,both,common,Restlessness,Fever,Tachycardia,Vomiting,Tremors,Weakness,Incontinence,Collapse,Shock,Oliguria,Loss of transfusion efficacy,,,,
